"verre_id","glass_name","source_url","nasal_engraving","glass_index","material","glass_supplier_name","tags"
721,"Sensation 1,74",https://www.france-optique.com/fournisseur/2399-adn-optis,SEN4,"1.74",MR174,Gravures de verres de ADN OPTIS,"[""SEN4""]"
722,Anateo Plus OR16,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1112-nas-bbgr-180.tif.jpg,"1.6",Organique,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""6"", ""+""]"
723,Proximit,https://www.france-optique.com/fournisseur/2399-adn-optis,PRX4,"1.74",MR174,Gravures de verres de ADN OPTIS,"[""PRX4""]"
724,Anateo Plus OR167,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1114-nas-bbgr-182.tif.jpg,"1.67",Organique,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""6"", ""7"", ""+""]"
725,D,https://www.france-optique.com/fournisseur/2399-adn-optis,DET4,"1.74",MR174,Gravures de verres de ADN OPTIS,"[""DET4""]"
726,Anateo Plus OR174,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1116-nas-bbgr-184.tif.jpg,"1.74",Organique,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""+"", ""7"", ""4""]"
727,"Premier 1,67",https://www.france-optique.com/fournisseur/2399-adn-optis,PRE7,"1.67",MR10,Gravures de verres de ADN OPTIS,"[""PRE7""]"
728,Anateo Plus Mini OR15,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1121-nas-bbgr-189.tif.jpg,"1.5",Organique,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""+"", ""M""]"
729,Anateo Plus Mini Trivex,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1120-nas-bbgr-188.tif.jpg,"1.53",Trivex,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""\u00e9toile"", ""+"", ""M""]"
730,Anateo Plus Mini Tilium,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1119-nas-bbgr-187.tif.jpg,"1.59",Polycarbonate,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""P"", ""+"", ""M""]"
731,Anateo Plus Mini OR16,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1118-nas-bbgr-186.tif.jpg,"1.6",Organique,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""6"", ""+"", ""M""]"
732,Anateo Plus Mini OR167,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1123-nas-bbgr-191.tif.jpg,"1.67",Organique,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""6"", ""7"", ""+"", ""M""]"
733,Anateo Plus Mini OR174,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1125-nas-bbgr-193.tif.jpg,"1.74",Organique,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""+"", ""7"", ""4"", ""M""]"
