id,nom,materiaux,indice,fournisseur,gravure,url_source,variante,hauteur_min,hauteur_max,protection,photochromic,tags,image_gravure
94,EasyMax-U 1.5,ORG AR blanc/couleur-Trans.-XTRActive-Photo-Pola,1.5,INDO OPTICAL France,esU,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
95,Ingenia-U 1.74,ORG AR Blanc - Transitions,1.74,INDO OPTICAL France,InU74,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
96,Ingenia-U 1.67,ORG AR blanc/couleur - Trans. - Photo - Pola,1.67,INDO OPTICAL France,InU67,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
97,Ingenia-U 1.6,ORG AR blanc/couleur - Trans. - Photo - Pola,1.6,INDO OPTICAL France,InU6,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
98,Ingenia-U 1.5,ORG AR blanc/couleur - Trans. - Photo - Pola,1.5,INDO OPTICAL France,InU,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
99,Activa-U 1.67,ORG AR blanc/couleur - Trans. - Photo - Pola,1.67,INDO OPTICAL France,acU67,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
100,Activa-U 1.6,ORG AR blanc/couleur - Trans. - Photo - Pola,1.6,INDO OPTICAL France,acU6,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
101,Activa-U 1.5,ORG AR blanc/couleur - Trans. - Photo - Pola,1.5,INDO OPTICAL France,acU,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
102,Superkid Miofocal 1.5 N-SuperClear,ORG,1.5,INDO OPTICAL France,SMF,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
103,Superkid Miofocal 1.5 eNGY Blue IR,ORG,1.5,INDO OPTICAL France,SMF,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
104,Superkid Miofocal 1.6 N-SuperClear,ORG,1.6,INDO OPTICAL France,SMF6,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
105,Superkid Miofocal 1.6 eNGY Blue IR,ORG,1.6,INDO OPTICAL France,SMF6,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
106,Superkid Miofocal 1.67 N-SuperClear,ORG,1.67,INDO OPTICAL France,SMF67,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
107,Superkid Miofocal 1.67 eNGY Blue IR,ORG,1.67,INDO OPTICAL France,SMF67,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
108,Superkid Miofocal 1.74 N-SuperClear,ORG,1.74,INDO OPTICAL France,SMF74,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
109,Superkid Miofocal 1.74 eNGY Blue IR,ORG,1.74,INDO OPTICAL France,SMF74,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
110,Yuniku Progressive Eyvia 1.74 UV2.0 (11 à 16mm) Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,YP_7,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
111,MyStyle V+ EyeGenius Eyvia 1.74 UV2.0 (11 à 16mm) Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,EG,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
112,MyStyle V+ EyeGenius Eyas 1.60 UV2.0 (11 à 16mm) Blanc/Sensity 2/Sensity Dark,ORG Blanc / PHO,1.6,Fournisseur : HOYA Visio ...,EG,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
113,MyStyle V+ EyeGenius PNX 1.53 UV2.0 (11 à 16mm) Blanc/Sensity 2,ORG Blanc / PHO,1.53,Fournisseur : HOYA Visio ...,EG,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
114,MyStyle V+ EyeGenius Organique 1.50 (11 à 16mm) Blanc/Sensity 2/Sensity Dark,ORG Blanc / PHO,1.5,Fournisseur : HOYA Visio ...,EG,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
115,LifeStyle 3i Indoor/Outdoor/Urban Eyvia 1.74 UV2.0 (11 à 14mm) Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,LI_7I ou LI_7O ou LI_7U,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
116,LifeStyle 3 Indoor/Outdoor/Urban Eyvia 1.74 UV2.0 (11 à 14mm) Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,L_7I ou L_7O ou L_7U,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
117,Balansis Eyvia 1.74 UV2.0 (11mm - 14mm) Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,B17 ou B47,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
118,Daynamic 1.53 (11mm - 14mm) Polarisant,ORG POLA,1.53,Fournisseur : HOYA Visio ...,DP1X ou DP4X,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
119,Amplitude Plus Eynoa 1.67 UV2.0 (11mm - 15mm) Blanc/Sensity 2/Sensity Dark/Sensity Fast,ORG Blanc/ PHO,1.67,Fournisseur : HOYA Visio ...,DA15 ou DA55,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
120,Yuniku Digital T5/T9/T13 Eyvia 1.74 UV2.0 Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,YD7,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
121,Yuniku Single Vision Eyvia 1.74 UV2.0 Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,YS7,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
122,Nulux iDentity V+ EyeGenius Eyvia 1.74 UV2.0 Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,EG,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
123,Sync IIIi T5/T9/T13 Eyvia 1.74 UV2.0 Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,SYi7,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
124,MySelf Eyvia 1.74 UV2.0 (11 à 16mm) Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,MY_7,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
125,Balansis i Eyvia 1.74 UV2.0 (11mm - 14mm) Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,Bi17 ou Bi47,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
126,Daynamic 1.67 Advanced Lights Protection (11mm - 14mm) Blanc,ORG Blanc,1.67,Fournisseur : HOYA Visio ...,DP14L ou DP45L,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
127,Lifestyle 3i Indoor/Outdoor/Urban 1.67 Advanced Lights Protection (11 à 14mm) Blanc,ORG Blanc,1.67,Fournisseur : HOYA Visio ...,LI_5LI ou LI_5LO ou LI_5LU,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
128,Yuniku Progressive Eynoa 1.67 UV2.0 (11 à 16mm) Blanc/Sensity 2/Sensity Dark,ORG Blanc / PHO,1.67,Fournisseur : HOYA Visio ...,YP_5,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
129,MyStyle V+ EyeGenius Eynoa 1.67 UV2.0 (11 à 16mm) Blanc/Sensity 2/Sensity Dark,ORG Blanc / PHO,1.67,Fournisseur : HOYA Visio ...,EG,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
130,Lifestyle 3i Indoor/Outdoor/Urban Eynoa 1.67 UV2.0 (11 à 14mm) Blanc/Sensity 2/Sensity Dark,ORG Blanc / PHO,1.67,Fournisseur : HOYA Visio ...,LI_5I ou LI_5O ou LI_5U,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
131,Lifestyle 3 Indoor/Outdoor/Urban 1.67 Advanced Lights Protection (11 à 14mm) Blanc,ORG Blanc,1.67,Fournisseur : HOYA Visio ...,L_5LI ou L_5LO ou L_5LU,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
132,Balansis Eynoa 1.67 UV2.0 (11mm - 14mm) Blanc/Sensity 2/Sensity Dark/Sensity Fast,ORG Blanc / PHO,1.67,Fournisseur : HOYA Visio ...,B15 ou B45,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
133,Yuniku Digital T5/T9/T13 Eynoa 1.67 UV2.0 Blanc/Sensity 2/Sensity Dark/Fin Polarisant,ORG Blanc / PHO / POLA,1.67,Fournisseur : HOYA Visio ...,YD5,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
134,Yuniku Single Vision Eynoa 1.67 UV2.0 Blanc/Sensity 2/Sensity Dark/Fin Polarisant,ORG Blanc / PHO / POLA,1.67,Fournisseur : HOYA Visio ...,YS5,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
135,Nulux iDentity V+ EyeGenius Eynoa 1.67 UV2.0 Blanc/Sensity 2/Sensity Dark,ORG Blanc/ PHO,1.67,Fournisseur : HOYA Visio ...,EG,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
136,Balansis i 1.67 Advanced Lights Protection (11mm - 14mm) Blanc,ORG Blanc,1.67,Fournisseur : HOYA Visio ...,Bi15L ou Bi45L,https://www.france-optique.com/gravures/fournisseur=130,,,,False,False,,
